NO,cagegory,Movie Name,File Size,Video Size,Video Length,Video Rate,Subtitle,File Name,filesize,disk
210,邵氏,童子功, 1.37 GiB,704 * 368, 1h 23mn,2341 Kbps,无字幕或内嵌字幕,童子功.The.Mighty.One.1971.R3.SB.DVDRip.x264.AC3.iNT-NowYS.mkv,0,中国电影2_3T
211,邵氏,笑傲江湖, 1.37 GiB,716 * 368, 1h 32mn,2109 Kbps,无字幕或内嵌字幕,笑傲江湖.The.Proud.Youth.1978.R3.SB.DVDRip.x264.AC3.iNT-NowYS.mkv,0,中国电影2_3T
212,邵氏,绣花大盜, 1.36 GiB,716 * 368, 1h 28mn,2218 Kbps,无字幕或内嵌字幕,绣花大盜.Clan.of.Amazons.1978.R3.SB.DVDRip.x264.AC3.iNT-NowYS.mkv,0,中国电影2_3T
213,邵氏,群英会, 1.36 GiB,700 * 432, 1h 48mn,1805 Kbps,无字幕或内嵌字幕,群英会.Trilogy.of.Swordsmanship.1972.R2.SB.DVDRip.x264.AC3.iNT-NowYS.mkv,0,中国电影2_3T
214,邵氏,至尊一剑, 1.37 GiB,720 * 368, 1h 38mn,1979 Kbps,无字幕或内嵌字幕,至尊一剑.The.Supreme.Swordsman.1984.R1.SB.DVDRip.x264.AC3.iNT-NowYS.mkv,0,中国电影2_3T
215,邵氏,舞衣, 1.37 GiB,716 * 368, 1h 29mn,2187 Kbps,无字幕或内嵌字幕,"舞衣.Sex, Love.and.Hate.1974.R3.SB.DVDRip.x264.AC3.iNT-NowYS.mkv",0,中国电影2_3T
216,邵氏,艳阳天, 698 MiB,704 * 368, 1h 29mn,1092 Kbps,无字幕或内嵌字幕,艳阳天.Blue.Skies.1967.R3.SB.DVDRip.x264.AC3.iNT-NowYS.mkv,0,中国电影2_3T
217,邵氏,英雄无泪, 1.36 GiB,720 * 288, 1h 46mn,1833 Kbps,无字幕或内嵌字幕,英雄无泪.Heroes.Shed.No.Tears.1978.R3.SB.DVDRip.x264.2Audio.AC3.iNT-NowYS.mkv,0,中国电影2_3T
218,邵氏,萧十一郞, 1.37 GiB,716 * 368, 1h 29mn,2195 Kbps,无字幕或内嵌字幕,萧十一郞.Swordsman.at.Large.1971.R3.SB.DVDRip.x264.AC3.iNT-NowYS.mkv,0,中国电影2_3T
219,邵氏,蛇杀手, 1.36 GiB,712 * 352, 1h 39mn,1964 Kbps,无字幕或内嵌字幕,蛇杀手.Killer.Snakes.1974.R1.SB.DVDRip.x264.2Audio.AC3.iNT-NowYS.mkv,0,中国电影2_3T
220,邵氏,血洒天牢, 1.37 GiB,716 * 368, 1h 19mn,2463 Kbps,无字幕或内嵌字幕,血洒天牢.The.Rescue.1971.R3.SB.DVDRip.x264.AC3.iNT-NowYS.mkv,0,中国电影2_3T
221,邵氏,血符门, 1.37 GiB,716 * 368, 1h 35mn,2053 Kbps,无字幕或内嵌字幕,血符门.The.Crimson.Charm.1971.R3.SB.DVDRip.x264.AC3.iNT-NowYS.mkv,0,中国电影2_3T
222,邵氏,血鹦鹉, 1.37 GiB,704 * 368, 1h 32mn,2122 Kbps,无字幕或内嵌字幕,血鹦鹉.Bloody.Parrot.1981.R3.SB.DVDRip.x264.AC3.iNT-NowYS.mkv,0,中国电影2_3T
223,邵氏,西厢记, 1.36 GiB,716 * 368, 1h 48mn,1795 Kbps,无字幕或内嵌字幕,西厢记.West.Chamber.1964.R3.SB.DVDRip.x264.AC3.iNT-NowYS.mkv,0,中国电影2_3T
224,邵氏,西游记, 1.36 GiB,872 * 368, 1h 51mn,1749 Kbps,无字幕或内嵌字幕,西游记.Monkey Goes West.1966.DVDRip.872x368.X264.AAC.mkv,0,中国电影2_3T
225,邵氏,请帖, 1.36 GiB,704 * 368, 1h 38mn,1987 Kbps,无字幕或内嵌字幕,请帖.Rendezvous.With.Death.1980.R3.SB.DVDRip.x264.2Audio.AC3.iNT-NowYS.mkv,0,中国电影2_3T
226,邵氏,贼王之王, 1.36 GiB,716 * 368, 1h 36mn,2028 Kbps,无字幕或内嵌字幕,贼王之王.Winner.Takes.All.1982.R3.SB.DVDRip.x264.2Audio.AC3.iNT-NowYS.mkv,0,中国电影2_3T
227,邵氏,追女三十六房, 1.36 GiB,716 * 368, 1h 38mn,1975 Kbps,无字幕或内嵌字幕,追女三十六房.36.Secrets.of.Courtship.1982.R3.SB.DVDRip.x264.2Audio.AC3.iNT-NowYS.mkv,0,中国电影2_3T
228,邵氏,追魂镖, 698 MiB,716 * 368, 1h 23mn,1163 Kbps,无字幕或内嵌字幕,追魂镖.Killer.Darts.1968.R3.SB.DVDRip.x264.AC3.iNT-NowYS.mkv,0,中国电影2_3T
229,邵氏,逃亡, 1.37 GiB,716 * 368, 1h 24mn,2317 Kbps,无字幕或内嵌字幕,逃亡.The.Bloody.Escape.1975.R3.SB.DVDRip.x264.AC3.iNT-NowYS.mkv,0,中国电影2_3T
230,邵氏,通天小子红枪客, 1.36 GiB,704 * 368, 1h 37mn,2007 Kbps,无字幕或内嵌字幕,通天小子红枪客.The.Kid.With.a.Tattoo.1980.R3.SB.DVDRip.x264.TriAudio.AC3.iNT-NowYS.mkv,0,中国电影2_3T
231,邵氏,遗产五亿元, 1.36 GiB,716 * 368, 1h 32mn,2103 Kbps,无字幕或内嵌字幕,遗产五亿元.The.Five.Billion.Dollar.Legacy.1969.R3.SB.DVDRip.x264.AC3.iNT-NowYS.mkv,0,中国电影2_3T
232,邵氏,邪咒, 1.37 GiB,800 * 400, 1h 19mn,2460 Kbps,无字幕或内嵌字幕,邪咒.Curse Of Evil.1982.mkv,0,中国电影2_3T
233,邵氏,醉郎洲, 1.36 GiB,704 * 368, 1h 27mn,2225 Kbps,无字幕或内嵌字幕,醉郎洲.Farewell.to.a.Warrior.1976.R3.SB.DVDRip.x264.AC3.iNT-NowYS.mkv,0,中国电影2_3T
