NO,category,Movie Name,File Size,Video Size,Video Length,Video Rate,Subtitle,File Name,filesize,disk
130,欧美系列,速度与激情【1.2.3.4.5.6.7】, 6.55 GiB,1280 * 536, 2h 19mn,6703 Kbps,外挂中英,Furious.Seven.2015.EXTENDED.720p.BluRay.x264-SPARKS.mkv,0,欧美系列1_2T
131,欧美系列,速度与激情【1.2.3.4.5.6.7】, 5.47 GiB,1280 * 544, 1h 46mn,7323 Kbps,外挂中英,The.Fast.and.the.Furious.I.2001.720p.BluRay.x264.DTS.2Audio-HDChina.mkv,0,欧美系列1_2T
132,欧美系列,速度与激情【1.2.3.4.5.6.7】, 5.47 GiB,1280 * 544, 1h 47mn,7272 Kbps,外挂中文,The.Fast.and.the.Furious.II.2003.720p.BluRay.x264.DTS.2Audio-HDChina.mkv,0,欧美系列1_2T
133,欧美系列,速度与激情【1.2.3.4.5.6.7】, 5.46 GiB,1280 * 544, 1h 44mn,7496 Kbps,外挂中英,The.Fast.and.the.Furious.III.2006.720p.BluRay.x264.DTS.2Audio-HDChina.mkv,0,欧美系列1_2T
134,欧美系列,速度与激情【1.2.3.4.5.6.7】, 5.45 GiB,1280 * 534, 1h 46mn,7313 Kbps,外挂中英,The.Fast.and.the.Furious.IV.2009.720p.BluRay.x264.DTS.2Audio-HDChina.mkv,0,欧美系列1_2T
135,欧美系列,速度与激情【1.2.3.4.5.6.7】, 5.46 GiB,1280 * 544, 2h 10mn,6001 Kbps,外挂中英,The.Fast.and.the.Furious.V.BluRay.720p.x264.DTS-HDChina.mkv,0,欧美系列1_2T
136,欧美系列,针孔旅馆【1.2】, 2.51 GiB,1280 * 720, 1h 25mn,4181 Kbps,外挂中文,Vacancy.2.The.First.Cut.2008.720p.WEB-DL.H264-WEBiOS.mkv,0,欧美系列1_2T
137,欧美系列,针孔旅馆【1.2】, 4.37 GiB,1280 * 528, 1h 25mn,7348 Kbps,外挂中英|未知字幕,Vacancy.2007.NORDIC.720p.BluRay.x264-duMux.mkv,0,欧美系列1_2T
138,欧美系列,铁血战士【1.2.3】, 5.50 GiB,1280 * 544, 1h 46mn,7360 Kbps,外挂中英|未知字幕,Predators.2010.720p.BluRay.x264.DTS-KiNGS.mkv,0,欧美系列1_2T
139,欧美系列,铁血战士【1.2.3】, 5.50 GiB,1280 * 688, 1h 48mn,7288 Kbps,外挂中文|未知字幕,Predator.II.1990.720p.BluRay.x264.DTS-KiNGS.mkv,0,欧美系列1_2T
140,欧美系列,铁血战士【1.2.3】, 5.50 GiB,1280 * 720, 1h 46mn,7386 Kbps,外挂中英|未知字幕,Predator.1987.720p.BluRay.DTS.x264-PublicHD.mkv,0,欧美系列1_2T
141,欧美系列,锅盖头【1.2】, 4.36 GiB,1280 * 534, 1h 42mn,6085 Kbps,外挂中英,Jarhead.2.Field.of.Fire.2014.BluRay.720p.DTS.x264-CHD.mkv,0,欧美系列1_2T
142,欧美系列,锅盖头【1.2】, 3.71 GiB,1280 * 720, 2h 2mn,4332 Kbps,外挂中英,[锅盖头(国英)]Jarhead.2005.BluRay.720p.x264.2Audio.AC3-CnSCG.mkv,0,欧美系列1_2T
143,欧美系列,霍比特人【1.2】, 7.92 GiB,1280 * 534, 3h 2mn,6211 Kbps,外挂中英,The.Hobbit.An.Unexpected.Journey.2012.Extended.Edition.BluRay.720p.DTS.x264-CHD.mkv,0,欧美系列1_2T
144,欧美系列,霍比特人【1.2】, 7.92 GiB,1280 * 534, 2h 41mn,7031 Kbps,外挂中英,The.Hobbit.The.Desolation.of.Smaug.2013.BluRay.720p.DTS.x264-CHD.mkv,0,欧美系列1_2T
145,欧美系列,非常人贩【1.2.3】, 5.01 GiB,1280 * 546, 1h 32mn,7778 Kbps,外挂中英,非常人贩1.Transporter.1.2002.BluRay.720p.DTS.2Audio.x264-CHD..mkv,0,欧美系列1_2T
146,欧美系列,非常人贩【1.2.3】, 5.01 GiB,1280 * 546, 1h 28mn,8136 Kbps,外挂中英,非常人贩2.Transporter.1.2005.BluRay.720p.DTS.2Audio.x264-CHD..mkv,0,欧美系列1_2T
