No,分类,中文文件名,文件大小,画面尺寸,视频时长,视频码率,字幕,文件名称,文件字节数,磁盘
31,本机临时,赏金猎人, 3.20 GiB,1280 * 720, 1h 45mn,4350 Kbps,无字幕或内嵌字幕,赏金猎人.Bounty.Hunters.2016.BluRay.720p.x264.2Audio.AC3-CnSCG.mkv,3432976479,本机
32,本机临时,踏血寻梅导演加长版, 3.19 GiB,1280 * 720, 2h 0mn,3779 Kbps,无字幕或内嵌字幕,[踏血寻梅导演加长版]Port.of.Call.2015.BluRay.720p.x264.AC3-CnSCG.mkv,3428923432,本机
33,本机临时,追捕野蛮人, 4.37 GiB,1280 * 536, 1h 40mn,6197 Kbps,外挂中英,Hunt.for.the.Wilderpeople.2016.720p.BluRay.X264-AMIABLE.mkv,4693475771,本机
34,本机临时,釜山行, 2.66 GiB,1280 * 720, 1h 58mn,3224 Kbps,外挂中文,Train.To.Busan.2016.KOREAN.720p.WEBRip.x264.AAC2.0-FGT.mp4,2853826975,本机
35,本机临时,陆垚知马俐, 2.22 GiB,1280 * 480, 1h 47mn,2964 Kbps,无字幕或内嵌字幕,陆垚知马俐.When.Larry.Met.Mary.2016.HD720P.X264.AAC.Mandarin.CHS-ENG.Mp4Ba.mp4,2384839937,本机
36,本机临时,魔兽, 4.41 GiB,1920 * 790, 2h 3mn,5126 Kbps,外挂中英,Warcraft.2016.1080p.BluRay.AC3.x264-ETRG.mkv,4733320751,本机
37,本机临时,鲨滩, 4.37 GiB,1280 * 536, 1h 26mn,7250 Kbps,外挂中英,The.Shallows.2016.720p.BluRay.x264-GECKOS.mkv,4690822429,本机
38,本机临时,2016, 4.11 GiB,1920 * 1080, 1h 35mn,6129 Kbps,无字幕或内嵌字幕,S.Storm.2016.1080p.WEB-DL.x264.AAC-HQC.mp4,4407831968,本机
39,本机临时,美国人, 4.35 GiB,1280 * 544, 1h 44mn,5928 Kbps,外挂中英,The.American.2010.BluRay.720p.DTS.x264-CHD.mkv,0,本机
40,本机临时,七年风暴, 5.00 GiB,1268 * 720, 1h 35mn,7489 Kbps,外挂中英,Hard.to.Kill.1990.BluRay.720p.DTS.x264-CHD.mkv,0,本机
41,本机临时,侠盗哈林, 4.36 GiB,1280 * 694, 1h 30mn,6879 Kbps,外挂中文,Today.You.Die.2005.BluRay.720p.DTS.x264-CHD.mkv,0,本机
42,本机临时,最高危机, 7.93 GiB,1280 * 534, 2h 12mn,8550 Kbps,外挂中英,Executive.Decision.1996.BluRay.720p.DTS.2Audio.x264-CHD.mkv,0,本机
43,本机临时,黑狱风云, 5.00 GiB,1280 * 694, 1h 38mn,7263 Kbps,外挂中文,Half.Past.Dead.2002.BluRay.720p.2Audio.x264-CHD.mkv,0,本机
44,本机临时,倾城佳话, 4.38 GiB,1280 * 692, 1h 41mn,6171 Kbps,外挂中英|外挂中文,It.Could.Happen.To.You.1994.BluRay.720p.x264.DTS-WiKi.mkv,0,本机
45,本机临时,天使之城, 4.20 GiB,1280 * 544, 1h 54mn,5254 Kbps,外挂中英,City.of.Angels.1998.HDRE.xvid.dd51-SiLU.avi,0,本机
46,本机临时,气象先生, 4.32 GiB,1280 * 696, 1h 37mn,6344 Kbps,外挂中英|外挂中文|未知字幕|外挂英文,The.Weather.Man.2005.HDTV.720p.x264.AC3-MIF.mkv,0,本机
47,本机临时,火柴人, 4.37 GiB,1280 * 720, 1h 55mn,5404 Kbps,未知字幕|外挂中文|外挂英文,Matchstick.Men.720p.HDTV.x264-ESiR.mkv,0,本机
