No,中文文件名,文件大小,画面尺寸,视频时长,视频码率,文件路径,文件Root,文件名称
37,大进军4大战宁沪杭, 6.58 GiB,1920 * 1040, 1h 51mn,8461 Kbps,电影频道录制版(A-N),,大进军4大战宁沪杭.1080p.mkv
38,好事多磨, 1.54 GiB,720 * 540, 1h 42mn,2163 Kbps,电影频道录制版(A-N),,好事多磨.1980.CCTV6.mkv
39,峨眉飞盗, 4.36 GiB,1280 * 720, 1h 22mn,7562 Kbps,电影频道录制版(A-N),,峨眉飞盗.HDTV.720P.H264.AC3-C283.mkv
40,巴士奇遇结良缘, 3.61 GiB,1280 * 624, 1h 20mn,6452 Kbps,电影频道录制版(A-N),,巴士奇遇结良缘.Romance on the Bus.1978.HDTV.720p.x264.ac3.jyt.mkv
41,庐山恋, 4.37 GiB,1024 * 500, 1h 22mn,7635 Kbps,电影频道录制版(A-N),,庐山恋.1980.CCTV6.mkv
42,感情生活, 2.40 GiB,1280 * 720, 1h 26mn,3957 Kbps,电影频道录制版(A-N),,感情生活.2010.HDTV.720p.x264.AC3-CMCT.mkv
43,戒烟不戒酒, 3.24 GiB,1280 * 720, 1h 25mn,5450 Kbps,电影频道录制版(A-N),,戒烟不戒酒.2011.CCTV6.mkv
44,戴手铐的旅客, 4.37 GiB,1280 * 720, 1h 41mn,6153 Kbps,电影频道录制版(A-N),,戴手铐的旅客.1980.CCTV6.720P.HDTV.H264.AC3.北影.mkv
45,捕狼人生, 2.54 GiB,1280 * 720, 1h 23mn,4338 Kbps,电影频道录制版(A-N),,捕狼人生.上影1996.CCTV6.HDTV.720P.AC3-杰夫.mkv
46,敏感事件, 4.37 GiB,1280 * 688, 1h 27mn,7186 Kbps,电影频道录制版(A-N),,敏感事件.CCTV6.Case.Sensitive.2011.HDTV.720p.x264-NGB.mkv
47,斗牛, 2.60 GiB,1280 * 720, 1h 44mn,3562 Kbps,电影频道录制版(A-N),,斗牛.Cow.2009.HDTV.720p.x264.AC3-CnSCG.mkv
48,断喉剑, 3.01 GiB,1250 * 720, 1h 39mn,4315 Kbps,电影频道录制版(A-N),,断喉剑.1988.HDTVRip.720P.x264.ac3.mkv
49,暖春, 3.15 GiB,1280 * 720, 1h 22mn,5450 Kbps,电影频道录制版(A-N),,暖春.2003.720p.HDTV.x264-CMCTV.mkv
50,曹操, 2.71 GiB,1280 * 706, 1h 30mn,4310 Kbps,电影频道录制版(A-N),,曹操.1996.CCTV6.mkv
51,木棉袈裟, 4.52 GiB,1920 * 1080, 1h 29mn,7220 Kbps,电影频道录制版(A-N),,木棉袈裟.1984.CCTV6.mp4
52,本命年, 3.26 GiB,1280 * 720, 1h 37mn,4767 Kbps,电影频道录制版(A-N),,本命年.cctv6.720P.mkv
53,李双双, 4.37 GiB,1760 * 1080, 1h 35mn,6568 Kbps,电影频道录制版(A-N),,李双双.1962.mkv
54,李时珍, 2.73 GiB,1152 * 720, 1h 42mn,3825 Kbps,电影频道录制版(A-N),,李时珍.1956.720.mkv
55,横空出世, 5.18 GiB,1912 * 1072, 1h 48mn,6839 Kbps,电影频道录制版(A-N),,横空出世.CCTV6HD.Roaring.Across.The.Horizon.1999.HDTV.1080p.H264.AC3.mkv
56,没事偷着乐, 2.05 GiB,1280 * 720, 1h 45mn,2775 Kbps,电影频道录制版(A-N),,没事偷着乐.mkv
57,洪福齐天, 4.92 GiB,1920 * 1080, 1h 29mn,7885 Kbps,电影频道录制版(A-N),,洪福齐天.1991 香港 东方电影频道高清.mkv
58,浮城谜事, 3.46 GiB,1280 * 720, 1h 37mn,5066 Kbps,电影频道录制版(A-N),,浮城谜事.Mystery.2012.720p.HDTV.x264.AC3-xiabd.mkv
59,混在北京, 4.37 GiB,1280 * 720, 1h 38mn,6359 Kbps,电影频道录制版(A-N),,混在北京.【1995】CCTV6.720p.HDTV.x264-NGB.mkv
60,渡江侦察记, 4.37 GiB,960 * 720, 1h 44mn,5968 Kbps,电影频道录制版(A-N),,渡江侦察记.Reconnaissance Across The Yangtze.1954.HDTV.720p.XviD.mp3.jyt.avi
61,港客谋杀案, 2.95 GiB,1920 * 1080, 1h 22mn,5137 Kbps,电影频道录制版(A-N),,港客谋杀案.【珠江电影制片厂1987】TV.mkv
62,滴水观音, 3.64 GiB,720 * 480, 1h 35mn,5446 Kbps,电影频道录制版(A-N),,滴水观音.1984年.彩色.mkv
63,灵异异灵, 2.77 GiB,1280 * 720, 1h 36mn,4113 Kbps,电影频道录制版(A-N),,灵异异灵.1080P.星卫HDTVRIP.国语中字.mkv
64,烈火金刚, 7.67 GiB,1280 * 720, 2h 50mn,6450 Kbps,电影频道录制版(A-N),,烈火金刚.Steel.Meets.Fire.1991.HDTV.720p.x264-CHDTV.mkv
65,爱情麻辣烫, 1.94 GiB,1280 * 720, 1h 45mn,2645 Kbps,电影频道录制版(A-N),,爱情麻辣烫.Spicy.Love.Soup.1997.720p.HDTV.x264.AC3-CMCT.mkv
66,爱有来生, 1.80 GiB,1280 * 548, 1h 31mn,2796 Kbps,电影频道录制版(A-N),,爱有来生.Eternal Beloved 2009 720p.HDTV.x264-CnSCG.mkv
67,父子老爷车, 4.63 GiB,1280 * 720, 1h 23mn,7896 Kbps,电影频道录制版(A-N),,父子老爷车.1990 CCTV6.720p.HDTV.x264 NGB 4.6G .mkv
68,狼烟, 2.53 GiB,1280 * 710, 1h 23mn,4344 Kbps,电影频道录制版(A-N),,狼烟.1990.HDTVR ip.720P.x264.ac3.mkv
69,狼牙山五壮士, 2.44 GiB,1280 * 720, 1h 20mn,4330 Kbps,电影频道录制版(A-N),,狼牙山五壮士.（八一1958）CCTV6.HDTV.720P.AC3.mkv
70,猎字99号, 2.05 GiB,1088 * 480, 1h 46mn,2746 Kbps,电影频道录制版(A-N),,猎字99号.【1978】CCTV6.mkv
71,甲午大海战, 4.37 GiB,1280 * 544, 1h 57mn,5305 Kbps,电影频道录制版(A-N),,甲午大海战.2012.HDTV.720p.x264.AC3-HD.mkv
72,男妇女主任, 1.40 GiB,1280 * 694, 1h 26mn,2331 Kbps,电影频道录制版(A-N),,男妇女主任.CCTV6.Nan.Fu.Nv.Zhu.Ren.1998.HDTV.iPad.720p.AAC.x264-CHDPAD.mp4
73,白莲花, 4.37 GiB,1280 * 720, 1h 41mn,6158 Kbps,电影频道录制版(A-N),,白莲花.1980.CCTV6.HDTV.720P.H264.AC3.mkv
74,离婚了就别再来找我, 4.37 GiB,1280 * 720, 1h 33mn,6660 Kbps,电影频道录制版(A-N),,离婚了就别再来找我.1996.CCTV6.mkv
75,秘密, 3.25 GiB,1280 * 704, 1h 34mn,4947 Kbps,电影频道录制版(A-N),,秘密.CHC.Mystery.2005.HDTV.720p.x264-CHDTV.mkv
76,秘密大追杀, 2.71 GiB,1280 * 708, 1h 29mn,4332 Kbps,电影频道录制版(A-N),,秘密大追杀.1995.CCTV6.mkv
77,第一书记, 3.90 GiB,1280 * 720, 1h 52mn,4949 Kbps,电影频道录制版(A-N),,第一书记.2010.CCTV6.mkv
