No,中文文件名,文件大小,画面尺寸,视频时长,视频码率,文件路径,文件Root,文件名称
1,一眉道人, 1.60 GiB,720 * 396, 1h 23mn,2756 Kbps,一眉道人.Vampire.Vs.Vampire.1989.DVDRip.x264.AC3.2Audios-CMCT,,[一眉道人].Vampire.Vs.Vampire.1989.DVDRip.x264.AC3.2Audios-CMCT.mkv
2,踏血寻梅, 3.00 GiB,1280 * 720, 1h 37mn,4382 Kbps,踏血寻梅.Port.of.Call.2015.BluRay.720p.x264.2Audio.AC3-CnSCG,,[踏血寻梅]Port.of.Call.2015.BluRay.720p.x264.2Audio.AC3-CnSCG.mkv
3,飞鹰女侠, 4.37 GiB,1280 * 536, 1h 39mn,6287 Kbps,飞鹰女侠.Silver.Hawk.2004.720p.BluRay.x264-SADPANDA,,Silver.Hawk.2004.720p.BluRay.x264-SADPANDA.mkv
