NO,cagegory,Movie Name,File Size,Video Size,Video Length,Video Rate,Subtitle,File Name,filesize,disk
1,DVD,Yes一族, 1.64 GiB,852 * 480, 1h 41mn,2310 Kbps,无字幕或内嵌字幕,南方娱乐（bbs.nfyl.net).Yes 一族.Yes.1991.DVD.x264.2Audio.NFYL.mkv,0,中国电影2
2,DVD,一世好命, 1.50 GiB,720 * 384, 1h 30mn,2361 Kbps,外挂中文,[一世好命(国粤双语)].You.Bet.Your.Life.1991.DVDrip.x264.AC3.2Audios-CMCT.mkv,0,中国电影2
3,DVD,一个复杂故事, 1.64 GiB,720 * 404, 1h 48mn,2166 Kbps,无字幕或内嵌字幕,A Complicated Story 2013 DVDRip x264 AC3-SmY.mkv,0,中国电影2
4,DVD,一个烂赌的传说, 1.24 GiB,720 * 480, 1h 34mn,1885 Kbps,无字幕或内嵌字幕,【2001.10.11】一个烂赌的传说.A.Gambler's.Story.國粵雙語.mkv,0,中国电影2
5,DVD,一刀倾城, 1.96 GiB,1280 * 720, 1h 40mn,2798 Kbps,无字幕或内嵌字幕,一刀倾城.1993.DVDRip.x264.AC3.2Audios-CMCT.mkv,0,中国电影2
6,DVD,一咬OK, 1.44 GiB,720 * 400, 1h 30mn,2273 Kbps,无字幕或内嵌字幕,一咬OK（国粤语中字）.mkv,0,中国电影2
7,DVD,中华赌侠, 2.05 GiB,712 * 568, 1h 38mn,2974 Kbps,无字幕或内嵌字幕,南方娱乐（bbs.nfyl.net).中华赌侠.Conman.In.Tokyo.2000.DVDRip.x264.AC3.3Audio.INT-NFYL.mkv,0,中国电影2
8,DVD,僵尸医生, 1.33 GiB,720 * 384, 1h 34mn,2013 Kbps,无字幕或内嵌字幕,[僵尸医生].Doctor.Vampire.1991.DVDRip.X264.AC3-ken861222.mkv,0,中国电影2
9,DVD,公仆, 1.37 GiB,704 * 464, 1h 31mn,2142 Kbps,无字幕或内嵌字幕,南方娱乐（bbs.nfyl.net).公仆.Law.With.Two.Phrase.1987.DVDRip.X264-NFYL.mkv,0,中国电影2
10,DVD,刀, 2.00 GiB,1016 * 552, 1h 40mn,2837 Kbps,无字幕或内嵌字幕,[刀].The.Blade.1995.DVDRip.x264.AC3.2Audios-CMCT.mkv,0,中国电影2
11,DVD,剑奴, 1.46 GiB,720 * 480, 1h 22mn,2522 Kbps,无字幕或内嵌字幕,[剑奴].Slave.of.the.Sword.1993.DVDrip.x264.AC3.2Audios-CMCT.mkv,0,中国电影2
12,DVD,勇者无惧, 2.10 GiB,720 * 304, 1h 31mn,3268 Kbps,无字幕或内嵌字幕,南方娱乐（bbs.nfyl.net).勇者无惧].Dreadnaught.1981.DVDRip.X264.AC3-NFYL.mkv,0,中国电影2
13,DVD,卿本佳人, 1.36 GiB,656 * 480, 1h 32mn,2101 Kbps,无字幕或内嵌字幕,[卿本佳人(国粤双语)].Pretty.Woman.1991.DVDrip.x264.AC3.2Audios-CMCT.mkv,0,中国电影2
14,DVD,双瞳, 1.91 GiB,852 * 480, 1h 53mn,2408 Kbps,无字幕或内嵌字幕,南方娱乐(bbs.nfyl.net).双瞳.Double.Vision.2002.DVDRip.H264.AC3.NFYL.mkv,0,中国电影2
15,DVD,双食记, 1.36 GiB,656 * 352, 1h 37mn,2000 Kbps,无字幕或内嵌字幕,【2008】双食记.Deadly.Delicious.2008.DUAL.AUDiO.WiTH.EXRTAS.DVDRip.XviD.AC3.iNT-MaydAY.avi,0,中国电影2
16,DVD,双龙出海, 1.37 GiB,698 * 464, 1h 28mn,2215 Kbps,无字幕或内嵌字幕,南方娱乐（bbs.nfyl.net).双龙出海.The.Return.Of.Pom.Pom.1984.DVDRip.x264.2Audio.AC3.iNT-NFYL.mkv,0,中国电影2
17,DVD,古镜幽魂, 1.18 GiB,720 * 368, 1h 32mn,1811 Kbps,无字幕或内嵌字幕,古镜幽魂.mkv,0,中国电影2
18,DVD,和你在一起, 700 MiB,592 * 320, 56mn 16s,1738 Kbps,无字幕或内嵌字幕,Together.CD1.avi,0,中国电影2
19,DVD,和你在一起, 698 MiB,592 * 320, 1h 2mn,1559 Kbps,无字幕或内嵌字幕,Together.CD2.avi,0,中国电影2
20,DVD,咸鱼翻生, 1.47 GiB,720 * 304, 1h 27mn,2396 Kbps,外挂中文,咸鱼翻生.By.Hook.or.By.Crook.1980.2Audio.DVDRip.X264.AAC.iNT-HKDY.avi,0,中国电影2
21,DVD,埋伏, 1.33 GiB,1280 * 720, 1h 39mn,1916 Kbps,无字幕或内嵌字幕,埋伏(1997).mkv,0,中国电影2
22,DVD,塞外夺宝, 1.50 GiB,640 * 480, 1h 27mn,2461 Kbps,无字幕或内嵌字幕,[塞外夺宝(国粤双语)].Cut-Throat.Struggle.For.An.Invaluable.Treasure.1982.DVDrip.x264.AC3.2Audios-CMCT.mkv,0,中国电影2
23,DVD,大话神探, 1.09 GiB,1280 * 720, 1h 33mn,1663 Kbps,无字幕或内嵌字幕,南方娱乐 (bbs.nfyl.net).大话神探.Fumbling Cops.1988..HK.DVDRip.X264.2AC3-NFYL.mkv,0,中国电影2
