No,中文文件名,文件大小,画面尺寸,视频时长,视频码率,文件路径,文件Root,文件名称
59,大清炮队, 710 MiB,1280 * 738, 1h 38mn,1008 Kbps,A-G,,大清炮队.flv
60,大渡河, 643 MiB,720 * 576, 1h 39mn,902 Kbps,A-G,,大渡河.flv
61,大漠双雄, 567 MiB,720 * 448, 1h 27mn,903 Kbps,A-G,,大漠双雄.flv
62,大荒野, 617 MiB,1280 * 704, 1h 25mn,1007 Kbps,A-G,,大荒野.flv
63,大虎, 322 MiB,720 * 576, 1h 35mn,473 Kbps,A-G,,大虎.flv
64,大辽太后, 613 MiB,1280 * 722, 1h 24mn,1013 Kbps,A-G,,大辽太后.flv
65,大鸿米店, 783 MiB,1280 * 784, 1h 48mn,1006 Kbps,A-G,,大鸿米店.flv
66,夺印, 620 MiB,1280 * 962, 1h 26mn,1006 Kbps,A-G,,夺印.flv
67,夺宝, 366 MiB,720 * 448, 1h 32mn,551 Kbps,A-G,,夺宝.flv
68,夺樽, 639 MiB,1280 * 714, 1h 29mn,1000 Kbps,A-G,,夺樽.flv
69,姑苏一怪, 642 MiB,1280 * 544, 1h 29mn,1006 Kbps,A-G,,姑苏一怪.flv
70,孤岛情报战, 288 MiB,720 * 448, 1h 25mn,473 Kbps,A-G,,孤岛情报战.flv
71,孤岛秘密战, 528 MiB,720 * 448, 1h 22mn,892 Kbps,A-G,,孤岛秘密战.flv
72,孤注一掷, 650 MiB,1280 * 714, 1h 29mn,1015 Kbps,A-G,,孤注一掷.flv
73,宝葫芦的秘密, 438 MiB,1920 * 1460, 1h 7mn,903 Kbps,A-G,,宝葫芦的秘密.flv
74,宫廷斗鸡, 618 MiB,1280 * 710, 1h 25mn,1015 Kbps,A-G,,宫廷斗鸡.flv
75,巴山红浪, 660 MiB,1280 * 996, 1h 32mn,998 Kbps,A-G,,巴山红浪.flv
76,巴陵窃贼, 703 MiB,1280 * 548, 1h 37mn,1007 Kbps,A-G,,巴陵窃贼.flv
77,带兵的人, 714 MiB,1280 * 962, 1h 39mn,1007 Kbps,A-G,,带兵的人.flv
78,弹道无痕, 653 MiB,1280 * 692, 1h 30mn,1013 Kbps,A-G,,弹道无痕.flv
79,当代人, 618 MiB,720 * 448, 1h 35mn,903 Kbps,A-G,,当代人.flv
80,怪侠, 545 MiB,1280 * 720, 1h 24mn,902 Kbps,A-G,,怪侠.flv
81,恩仇劫, 636 MiB,1280 * 714, 1h 29mn,995 Kbps,A-G,,恩仇劫.flv
82,悲情布鲁克, 608 MiB,1280 * 544, 1h 23mn,1019 Kbps,A-G,,悲情布鲁克.flv
83,戈壁恩仇录, 560 MiB,720 * 576, 1h 26mn,902 Kbps,A-G,,戈壁恩仇录.flv
84,戈壁来客, 647 MiB,1280 * 752, 1h 29mn,1006 Kbps,A-G,,戈壁来客.flv
85,报仇, 527 MiB,720 * 448, 1h 21mn,903 Kbps,A-G,,报仇.flv
86,拂晓枪声, 293 MiB,720 * 448, 1h 26mn,473 Kbps,A-G,,拂晓枪声.flv
87,拂晓的爆炸, 682 MiB,1280 * 744, 1h 34mn,1007 Kbps,A-G,,拂晓的爆炸.flv
88,敌后武工队, 896 MiB,1280 * 692, 2h 18mn,903 Kbps,A-G,,敌后武工队.flv
89,春催桃李, 651 MiB,1280 * 996, 1h 30mn,1001 Kbps,A-G,,春催桃李.flv
90,春暖花开, 600 MiB,720 * 576, 1h 32mn,903 Kbps,A-G,,春暖花开.flv
91,春眠不觉晓, 698 MiB,720 * 448, 1h 48mn,902 Kbps,A-G,,春眠不觉晓.flv
92,暴风中的雄鹰, 648 MiB,720 * 576, 1h 40mn,903 Kbps,A-G,,暴风中的雄鹰.flv
93,杜鹃花飞, 645 MiB,1280 * 714, 1h 28mn,1021 Kbps,A-G,,杜鹃花飞.flv
94,步入辉煌, 730 MiB,1280 * 688, 1h 41mn,1008 Kbps,A-G,,步入辉煌.flv
95,残团, 546 MiB,1280 * 544, 1h 24mn,903 Kbps,A-G,,残团.flv
96,毒吻, 307 MiB,720 * 448, 1h 30mn,473 Kbps,A-G,,毒吻.flv
97,洞箫横吹, 654 MiB,1280 * 996, 1h 30mn,1011 Kbps,A-G,,洞箫横吹.flv
98,港客谋杀案, 599 MiB,1280 * 722, 1h 23mn,1008 Kbps,A-G,,港客谋杀案.flv
99,点燃朝霞的人, 647 MiB,720 * 576, 1h 40mn,903 Kbps,A-G,,点燃朝霞的人.flv
100,烽火列车, 662 MiB,1280 * 984, 1h 32mn,1006 Kbps,A-G,,烽火列车.flv
101,烽火岁月, 599 MiB,1280 * 720, 1h 33mn,900 Kbps,A-G,,烽火岁月.flv
102,爱情傻瓜(北影1993), 639 MiB,1280 * 738, 1h 28mn,1014 Kbps,A-G,,爱情傻瓜(北影1993).flv
103,爱情命运号, 588 MiB,1920 * 1080, 1h 31mn,903 Kbps,A-G,,爱情命运号.flv
104,爱的延续, 599 MiB,1280 * 714, 1h 24mn,995 Kbps,A-G,,爱的延续.flv
105,父亲是座山, 300 MiB,720 * 448, 1h 28mn,473 Kbps,A-G,,父亲是座山.flv
106,父子婚事, 634 MiB,1280 * 752, 1h 27mn,1012 Kbps,A-G,,父子婚事.flv
107,独立大队, 779 MiB,1280 * 984, 1h 47mn,1015 Kbps,A-G,,独立大队.flv
108,独身女人, 418 MiB,720 * 448, 1h 38mn,591 Kbps,A-G,,独身女人.flv
109,瓜熟蒂落, 627 MiB,1280 * 832, 1h 27mn,1007 Kbps,A-G,,瓜熟蒂落.flv
110,疯狂的代价, 662 MiB,1280 * 714, 1h 31mn,1008 Kbps,A-G,,疯狂的代价.flv
111,疯狂的玫瑰, 576 MiB,1280 * 720, 1h 29mn,901 Kbps,A-G,,疯狂的玫瑰.flv
112,白山黑水, 1.09 GiB,1280 * 556, 2h 35mn,1006 Kbps,A-G,,白山黑水.flv
113,白日女鬼, 289 MiB,720 * 448, 1h 25mn,473 Kbps,A-G,,白日女鬼.flv
114,白秋练, 610 MiB,1280 * 720, 1h 37mn,873 Kbps,A-G,,白秋练.flv
115,白粉妹, 615 MiB,720 * 448, 1h 36mn,892 Kbps,A-G,,白粉妹.flv
116,白衣侠女, 645 MiB,1280 * 744, 1h 28mn,1017 Kbps,A-G,,白衣侠女.flv
117,白马飞飞, 776 MiB,1280 * 710, 1h 48mn,1000 Kbps,A-G,,白马飞飞.flv
118,百团大战, 767 MiB,1280 * 532, 1h 47mn,1002 Kbps,A-G,,百团大战.flv
119,的士情缘, 639 MiB,1280 * 700, 1h 28mn,1006 Kbps,A-G,,的士情缘.flv
120,碧血宝刀, 570 MiB,1280 * 720, 1h 28mn,903 Kbps,A-G,,碧血宝刀.flv
121,碧血狂龙, 573 MiB,720 * 576, 1h 28mn,902 Kbps,A-G,,碧血狂龙.flv
122,福尔摩斯与中国女侠, 610 MiB,1280 * 714, 1h 24mn,1005 Kbps,A-G,,福尔摩斯与中国女侠.flv
123,第三个被谋杀者, 729 MiB,1280 * 726, 1h 40mn,1016 Kbps,A-G,,第三个被谋杀者.flv
124,筏子客, 653 MiB,1280 * 722, 1h 30mn,1013 Kbps,A-G,,筏子客.flv
125,绑票, 719 MiB,1280 * 732, 1h 39mn,1014 Kbps,A-G,,绑票.flv
126,给您道喜啦（长影1999）-电影网, 620 MiB,1280 * 714, 1h 25mn,1014 Kbps,A-G,,给您道喜啦（长影1999）-电影网.flv
127,肝胆相照, 797 MiB,1280 * 714, 1h 49mn,1015 Kbps,A-G,,肝胆相照.flv
128,股啊股, 420 MiB,720 * 448, 1h 31mn,640 Kbps,A-G,,股啊股.flv
129,茶王, 575 MiB,1280 * 722, 1h 29mn,902 Kbps,A-G,,茶王.flv
130,草原雄鹰, 618 MiB,1280 * 984, 1h 26mn,999 Kbps,A-G,,草原雄鹰.flv
131,草原风暴, 671 MiB,1280 * 1070, 1h 33mn,1008 Kbps,A-G,,草原风暴.flv
132,被爱情遗忘的角落, 310 MiB,720 * 576, 1h 31mn,473 Kbps,A-G,,被爱情遗忘的角落.flv
133,豺狼入室, 584 MiB,1280 * 710, 1h 20mn,1010 Kbps,A-G,,豺狼入室.flv
134,财迷心窍, 329 MiB,720 * 448, 1h 37mn,473 Kbps,A-G,,财迷心窍.flv
135,赌王出山, 544 MiB,720 * 448, 1h 24mn,902 Kbps,A-G,,赌王出山.flv
136,赣水苍茫, 804 MiB,1280 * 1008, 1h 52mn,1003 Kbps,A-G,,赣水苍茫.flv
137,赤峰号, 453 MiB,720 * 576, 1h 10mn,903 Kbps,A-G,,赤峰号.flv
138,边寨烽火, 537 MiB,720 * 576, 1h 23mn,903 Kbps,A-G,,边寨烽火.flv
139,都市女警官, 315 MiB,720 * 448, 1h 33mn,473 Kbps,A-G,,都市女警官.flv
