NO,cagegory,Movie Name,File Size,Video Size,Video Length,Video Rate,Subtitle,File Name,filesize,disk
1,WEBDL,一切都好, 2.33 GiB,1920 * 800, 1h 46mn,3138 Kbps,无字幕或内嵌字幕,【rarbt.com】一切都好.2016.超清1080P.X264.AAC.CHS.ENG.rarbt.mp4,0,中国电影2
2,,一号目标, 2.79 GiB,1920 * 1080, 1h 42mn,3910 Kbps,无字幕或内嵌字幕,Who is Undercover 2014 1080p WEB-DL x264 AAC-SeeHD.mkv,0,中国电影2
3,,一场风花雪月的事, 1.99 GiB,1280 * 544, 1h 49mn,2601 Kbps,无字幕或内嵌字幕,一场风花雪月的事.WEBRIP.mkv,0,中国电影2
4,,一念天堂, 2.22 GiB,1920 * 816, 1h 41mn,3124 Kbps,无字幕或内嵌字幕,Heart.for.Heaven.2015.1080p.WEB-DL.x264.AAC-SeeHD.mkv,0,中国电影2
5,,三更车库, 1.90 GiB,1920 * 816, 1h 27mn,3133 Kbps,无字幕或内嵌字幕,三更车库.Midnight.Garage.2015.HD1080P.X264.AAC.Mandarin.CHS.mp4,0,中国电影2
6,,不肯去观音, 1.30 GiB,1280 * 546, 1h 40mn,1843 Kbps,无字幕或内嵌字幕,Avalokitesvara.2013.720p.WEB-DL.x264.AC3-SmY.mkv,0,中国电影2
7,,九层妖塔, 2.59 GiB,1920 * 800, 1h 58mn,3142 Kbps,无字幕或内嵌字幕,Chronicles of the Ghostly Tribe 2015 1080p WEB-DL x264 AAC-SeeHD.mp4,0,中国电影2
8,,人山人海, 4.00 GiB,1280 * 544, 1h 32mn,6186 Kbps,无字幕或内嵌字幕,人山人海.People.Mountain.People.Sea.2012.HDTV.720p.x264.AC3-HD.mkv,0,中国电影2
9,,全民目击, 2.02 GiB,1920 * 808, 2h 0mn,2406 Kbps,无字幕或内嵌字幕,Silent Witness.2013.1080p.WEB-DL.x264.AAC-SmY.mkv,0,中国电影2
10,,八百壮士, 4.27 GiB,1280 * 512, 1h 55mn,5291 Kbps,无字幕或内嵌字幕,八百壮士.800 Heroes.1976mkv,0,中国电影2
11,,分手大师, 2.38 GiB,1280 * 542, 1h 55mn,2951 Kbps,无字幕或内嵌字幕,分手大师.The.Breakup.Guru.2014.720p.HDRip.x264.AC3-SeeHD.mkv,0,中国电影2
