No,中文文件名,文件大小,画面尺寸,视频时长,视频码率,文件路径,文件Root,文件名称
25,圣诞玫瑰, 2.80 GiB,1280 * 720, 1h 29mn,4467 Kbps,圣诞玫瑰.2013.BluRay.720p.x264.2Audio.AC3-CnSCG,,[圣诞玫瑰(国粤)]Christmas.Rose.2013.BluRay.720p.x264.2Audio.AC3-CnSCG[中文字幕2.8G].mkv
26,堕落天使, 2.85 GiB,1280 * 704, 1h 38mn,4130 Kbps,堕落天使.Fallen.Angels.1995.BluRay.720p.x264.AC3.AAC.2Audios-CMCT,,[堕落天使(国粤双语)].Fallen.Angels.1995.BluRay.720p.x264.AC3.AAC.2Audios-CMCT.mkv
27,夏洛特烦恼, 3.01 GiB,1280 * 720, 1h 43mn,4149 Kbps,夏洛特烦恼.Goodbye.Mr.Loser.2015.BluRay.720p.x264.AC3-CnSCG,,[夏洛特烦恼]Goodbye.Mr.Loser.2015.BluRay.720p.x264.AC3-CnSCG[简繁中字3G].mkv
28,天才与白痴, 3.00 GiB,1280 * 720, 1h 36mn,4442 Kbps,天才与白痴.The.Last.Message.1975.BluRay.720p.x264.AC3.2Audios-CMCT,,[天才与白痴].The.Last.Message.1975.BluRay.720p.x264.AC3.2Audios-CMCT.mkv
29,天水围的日与夜, 2.00 GiB,864 * 480, 1h 30mn,3150 Kbps,天水围的日与夜.The.Way.We.Are.2008.DVDRip.x264.AC3.2Audios-CMCT,,[天水围的日与夜].The.Way.We.Are.2008.DVDRip.x264.AC3.2Audios-CMCT.mkv
30,天注定, 2.30 GiB,1280 * 536, 2h 9mn,2540 Kbps,天注定.A.Touch.of.Sin.2013.BRRip.720p.x264.AC3-SmY,,A.Touch.of.Sin.2013.BRRip.720p.x264.AC3-SmY.mkv
31,夺命金, 3.40 GiB,1280 * 720, 1h 46mn,4564 Kbps,夺命金.Life.Without.Principle.2011.BluRay.720p.x264.AC3-CMCT,,[夺命金(国粤双语)].Life.Without.Principle.2011.BluRay.720p.x264.AC3-CMCT.mkv
32,奇幻夜, 2.60 GiB,1280 * 720, 1h 27mn,4252 Kbps,奇幻夜.Tales.From.The.Dark.2.2013.BluRay.720p.x264.AC3-CMCT,,[奇幻夜].Tales.From.The.Dark.2.2013.BluRay.720p.x264.AC3-CMCT.mkv
33,孟兰神功, 2.50 GiB,1280 * 720, 1h 21mn,4404 Kbps,孟兰神功.Hungry.Ghost.Ritual.2014.BluRay.720p.x264.2Audio.AC3-CnSCG,,[孟兰神功(国粤)]Hungry.Ghost.Ritual.2014.BluRay.720p.x264.2Audio.AC3-CnSCG.mkv
34,富贵列车, 3.00 GiB,1280 * 720, 1h 29mn,4781 Kbps,富贵列车.1986.BluRay.720p.x264.2Audio.AC3-CnSCG,,[富贵列车(国粤)]Millionaire's.Express.1986.BluRay.720p.x264.2Audio.AC3-CnSCG[中文字幕3G].mkv
35,心中有鬼, 2.03 GiB,1280 * 720, 1h 31mn,3190 Kbps,心中有鬼.Matrimony 2007 BluRay 720p AC3 X264-CnSCG,,心中有鬼 Matrimony 2007 BluRay 720p AC3 X264-CnSCG.mkv
36,忠烈杨家将, 2.42 GiB,1280 * 720, 1h 41mn,3398 Kbps,忠烈杨家将.Saving.General.Yang.2013.BluRay.720p.AC3.2Audio.x264.CNXP,,忠烈杨家将.Saving.General.Yang.2013.BluRay.720p.AC3.2Audio.x264.CNXP.mkv
37,情谜, 4.35 GiB,1280 * 544, 1h 41mn,6128 Kbps,情谜.The.Second.Woman.2012.BluRay.720p.x264-CHD,,The.Second.Woman.2012.BluRay.720p.AC3.2Audio.x264-CHD.mkv
38,执法先锋, 2.40 GiB,1280 * 672, 1h 36mn,3561 Kbps,执法先锋.Righting.Wrongs.1986.BluRay.720p.x264.AC3.2Audios-CMCT,,[执法先锋].Righting.Wrongs.1986.BluRay.720p.x264.AC3.2Audios-CMCT.mkv
39,扫毒, 4.20 GiB,1280 * 720, 2h 14mn,4480 Kbps,扫毒.The.White.Storm.2013.BluRay.720p.x264.2Audio.AC3-CnSCG,,[扫毒(国粤)]The.White.Storm.2013.BluRay.720p.x264.2Audio.AC3-CnSCG[中文字幕4.2G].mkv
40,搜索, 3.20 GiB,1280 * 720, 2h 1mn,3758 Kbps,搜索.Caught.in.the.Web.2012.BluRay.720p.x264.AC3-CnSCG,,[搜索]Caught.in.the.Web.2012.BluRay.720p.x264.AC3-CnSCG[国语中字3.2G].mkv
41,摩登保镖, 2.80 GiB,1280 * 720, 1h 30mn,4403 Kbps,摩登保镖.Security.Unlimited.1981.BluRay.720p.x264.AC3.2Audios-CMCT,,[摩登保镖].Security.Unlimited.1981.BluRay.720p.x264.AC3.2Audios-CMCT.mkv
42,新蜀山剑侠, 5.00 GiB,1280 * 680, 1h 38mn,7302 Kbps,新蜀山剑侠.Zu.Warriors.from.the.Magic.Mountain.1983.BluRay.720p.x264.AC3.2Audios-HDWinG,,新蜀山剑侠.Zu.Warriors.from.the.Magic.Mountain.1983.BluRay.720p.x264.AC3.2Audios-HDWinG.mkv
43,新街口, 1.20 GiB,1280 * 720, 1h 23mn,2057 Kbps,新街口.The.Jimmy.Hat.2006.HDTV.720p.x264.AAC-iSCG,,[新街口]The.Jimmy.Hat.2006.HDTV.720p.x264.AAC-iSCG[国语中字1.2G].mp4
44,暴疯语, 2.15 GiB,1280 * 544, 1h 38mn,3138 Kbps,暴疯语.Insanity.2014.BluRay.720p.2Audio.x264,,暴疯语.Insanity.2014.BluRay.720p.2Audio.x264.mkv
45,末代皇帝, 4.00 GiB,1280 * 720, 2h 42mn,3518 Kbps,末代皇帝.The.Last.Emperor.1987.BluRay.720p.x264.AC3.2Audios-CMCT,,[末代皇帝(国英双语)].The.Last.Emperor.1987.BluRay.720p.x264.AC3.2Audios-CMCT.mkv
46,林世荣, 3.60 GiB,1280 * 720, 1h 48mn,4757 Kbps,林世荣.1979.BluRay.720p.x264.2Audio.AC3-CnSCG,,[林世荣(国粤)]The.Magnificent.Butcher.1979.BluRay.720p.x264.2Audio.AC3-CnSCG[中文字幕3.6G].mkv
47,枪王之王, 2.80 GiB,1280 * 720, 1h 57mn,3421 Kbps,枪王之王.Triple.Tap.2010.BluRay.720p.x264.AC3-CMCT,,[枪王之王(国粤双语)].Triple.Tap.2010.BluRay.720p.x264.AC3-CMCT.mkv
48,横冲直撞好莱坞, 3.47 GiB,1280 * 720, 1h 54mn,4337 Kbps,横冲直撞好莱坞.Hollywood.Adventures.2015.BluRay.720p.x264.AC3-CMCT,,[横冲直撞好莱坞].Hollywood.Adventures.2015.BluRay.720p.x264.AC3-CMCT.mkv
49,毒战, 3.52 GiB,1280 * 720, 1h 46mn,4738 Kbps,毒战.Drug.War.2013.720p.BluRay.720p.x264.AC3.2Audio-CMCT,,[毒战].Drug.War.2013.720p.BluRay.720p.x264.AC3.2Audio-CMCT.mkv
50,江湖告急, 2.97 GiB,1280 * 720, 1h 47mn,3945 Kbps,江湖告急.2000.BluRay.720p.X264.AC3,,江湖告急.mkv
51,消失的凶手, 4.04 GiB,1280 * 720, 2h 0mn,4782 Kbps,消失的凶手.The.Vanished.Murderer.2015.BluRay.720p.x264.AC3.2Audios-CMCT,,[消失的凶手].The.Vanished.Murderer.2015.BluRay.720p.x264.AC3.2Audios-CMCT.mkv
52,消失的子弹, 3.50 GiB,1280 * 720, 1h 47mn,4650 Kbps,消失的子弹.The.Bullet.Vanishes.2012.BluRay.720p.x264.2Audio.AC3-CnSCG,,[消失的子弹(国粤)]The.Bullet.Vanishes.2012.BluRay.720p.x264.2Audio.AC3-CnSCG[中字3.5G].mkv
53,火龙对决, 2.55 GiB,1280 * 720, 1h 45mn,3439 Kbps,火龙对决.Fire of Conscience 2010.720p.BluRay.x264.AC3-CMCT,,[火龙对决].Fire of Conscience 2010.720p.BluRay.x264.AC3-CMCT.mkv
54,独自等待, 5.48 GiB,1280 * 692, 1h 51mn,7013 Kbps,独自等待.Waiting.Alone.2004.720p.BluRay.x264-WiKi,,独自等待.Waiting.Alone.2004.720p.BluRay.x264-WiKi.mkv
55,狼牙, 2.14 GiB,1280 * 720, 1h 28mn,3451 Kbps,狼牙.Legendary.Assassin.2008.BluRay.720p.DTS.x264,,狼牙.2008.mkv
56,王牌, 2.50 GiB,1280 * 720, 1h 31mn,3908 Kbps,王牌.Who.is.Undercover.2014.BluRay.720p.x264.AC3-CnSCG,,[王牌]Who.is.Undercover.2014.BluRay.720p.x264.AC3-CnSCG.mkv
57,男儿本色, 3.80 GiB,1280 * 720, 2h 10mn,4177 Kbps,男儿本色.Invisible.Target.2007.BluRay.720p.x264.AC3.2Audios-CMCT,,[男儿本色].Invisible.Target.2007.BluRay.720p.x264.AC3.2Audios-CMCT.mkv
58,白发魔女传之明月天国, 4.60 GiB,1280 * 536, 1h 43mn,6344 Kbps,白发魔女传之明月天国.The.White.Haired.Witch.of.Lunar.Kingdom.2014.720p.BluRay.x264-WiKi,,The.White.Haired.Witch.of.Lunar.Kingdom.2014.720p.BluRay.x264-WiKi.mkv
59,白日焰火, 3.16 GiB,1280 * 690, 1h 49mn,4139 Kbps,白日焰火.Black.Coal.Thin.Ice.2014.GER.BluRay.720p.x264.AC3-CMCT,,[白日焰火].Black.Coal.Thin.Ice.2014.GER.BluRay.720p.x264.AC3-CMCT.mkv
60,真心英雄, 2.36 GiB,1280 * 720, 1h 34mn,3591 Kbps,真心英雄.A Hero Never Dies.1998,,[真心英雄].A Hero Never Dies.1998.mkv
61,神探, 2.80 GiB,1280 * 720, 1h 30mn,4438 Kbps,神探.Mad.Detective.(Sun taam).2007.BluRay.720p.x264.AC3.2Audios-CMCT,,[神探].Mad.Detective.(Sun taam).2007.BluRay.720p.x264.AC3.2Audios-CMCT.mkv
62,神探朱古力, 3.20 GiB,1280 * 720, 1h 41mn,4488 Kbps,神探朱古力.Chocolate.Inspector.1986.BluRay.720p.x264.AC3-CMCT,,[神探朱古力(国粤双语)].Chocolate.Inspector.1986.BluRay.720p.x264.AC3-CMCT.mkv
63,神枪手, 2.13 GiB,1280 * 720, 1h 26mn,3527 Kbps,神枪手.The.Sniper.2009.Bluray.720p.x264.AC3-CMCT,,[神枪手(国粤双语)].The.Sniper.2009.Bluray.720p.x264.AC3-CMCT.mkv
64,神算, 3.10 GiB,1280 * 720, 1h 39mn,4441 Kbps,神算.The.Magic.Touch.1992.BluRay.720p.x264.2Audio.AC3-CnSCG,,[神算]The.Magic.Touch.1992.BluRay.720p.x264.2Audio.AC3-CnSCG.mkv
65,第一次, 4.35 GiB,1280 * 536, 1h 42mn,6067 Kbps,第一次.First.Time.2012.BluRay.720p.DTS.x264-CHD,,First.Time.2012.BluRay.720p.DTS.x264-CHD.mkv
66,线人, 2.80 GiB,1280 * 720, 1h 52mn,3577 Kbps,线人.The.Stool.Pigeon.2010.720p.BluRay.x264.AC3-CMCT,,[线人(国粤双语)].The.Stool.Pigeon.2010.720p.BluRay.x264.AC3-CMCT.mkv
67,美人鱼, 3.00 GiB,1280 * 720, 1h 33mn,4574 Kbps,美人鱼.Mermaid.2016.BluRay.720p.x264.2Audio.AC3-CnSCG,,[美人鱼]Mermaid.2016.BluRay.720p.x264.2Audio.AC3-CnSCG.mkv
68,群龙戏凤, 4.35 GiB,1920 * 1080, 1h 35mn,6545 Kbps,群龙戏凤.1989.BDRip.1080P.x264.ac3,,群龙戏凤.1989.BDRip.1080P.x264.ac3.mkv
69,蔡李佛, 3.28 GiB,1280 * 544, 1h 32mn,5096 Kbps,蔡李佛.Choy.Lee.Fut.2011.BluRay.720p.x264.AC3.2Audio-HDChina,,Choy.Lee.Fut.2011.BluRay.720p.x264.AC3.2Audio-HDChina.mkv
70,被偷走的那五年, 3.00 GiB,1280 * 720, 1h 51mn,3846 Kbps,被偷走的那五年.The.Stolen.Years.2013.BluRay.720p.x264.AC3-CnSCG,,[被偷走的那五年]The.Stolen.Years.2013.BluRay.720p.x264.AC3-CnSCG[国语中字3G].mkv
71,西游记之三打白骨精, 3.10 GiB,1280 * 720, 1h 59mn,3720 Kbps,西游记之三打白骨精.The.Monkey.King.2.2016.720p.BluRay.x264.AC3-CNXP,,西游记之三打白骨精.The.Monkey.King.2.2016.720p.BluRay.x264.AC3-CNXP.mkv
72,证人, 2.50 GiB,1280 * 720, 1h 50mn,3249 Kbps,证人.The.Beast.Stalker.2008.720p.BluRay.x264.AC3-CNXP,,证人.The.Beast.Stalker.2008.720p.BluRay.x264.AC3-CNXP.mkv
73,败家仔, 3.40 GiB,1280 * 720, 1h 44mn,4671 Kbps,败家仔.Prodigal.Son.1981.BluRay.720p.x264.AC3.2Audios-CMCT,,[败家仔].Prodigal.Son.1981.BluRay.720p.x264.AC3.2Audios-CMCT.mkv
74,赤裸特工, 4.30 GiB,1280 * 688, 1h 31mn,6712 Kbps,赤裸特工.Naked.Weapon.2002.BluRay.720p.x264-HDEVO,,Naked.Weapon.2002.BluRay.720p.x264-HDEVO.mkv
75,赤道, 3.69 GiB,1280 * 720, 1h 58mn,4448 Kbps,赤道.Helios.2015.BluRay.720p.x264.2Audio.AC3-CnSCG,,[赤道]Helios.2015.BluRay.720p.x264.2Audio.AC3-CnSCG.mkv
76,超音速刑警, 4.36 GiB,1280 * 690, 1h 29mn,7003 Kbps,超音速刑警.Motorway.2012.BluRay.720p.DTS.2Audio.x264-CHD,,Motorway.2012.BluRay.720p.DTS.2Audio.x264-CHD.mkv
77,跛豪, 3.80 GiB,1280 * 720, 2h 22mn,3812 Kbps,跛豪.To.Be.Number.One.1991.BluRay.720p.x264.2Audio.AC3-CnSCG,,[跛豪(国粤)]To.Be.Number.One.1991.BluRay.720p.x264.2Audio.AC3-CnSCG[中字3.8G].mkv
78,踏血寻梅, 3.00 GiB,1280 * 720, 1h 37mn,4382 Kbps,踏血寻梅.Port.of.Call.2015.BluRay.720p.x264.2Audio.AC3-CnSCG,,[踏血寻梅]Port.of.Call.2015.BluRay.720p.x264.2Audio.AC3-CnSCG.mkv
79,过界男女, 3.00 GiB,1280 * 720, 1h 35mn,4507 Kbps,过界男女.Bends.2013.BluRay.720p.x264.2Audio.AC3-CnSCG,,[过界男女(国粤)]Bends.2013.BluRay.720p.x264.2Audio.AC3-CnSCG[中文字幕3G].mkv
80,迷城, 3.20 GiB,1280 * 720, 1h 41mn,4514 Kbps,迷城.Wild.City.2015.BluRay.720p.x264.2Audio.AC3-CnSCG,,[迷城]Wild.City.2015.BluRay.720p.x264.2Audio.AC3-CnSCG.mkv
81,迷离夜, 3.19 GiB,1280 * 720, 1h 52mn,4056 Kbps,迷离夜.Tales.From.The.Dark.1.2013.BluRay.720p.x264.AC3-CMCT,,[迷离夜].Tales.From.The.Dark.1.2013.BluRay.720p.x264.AC3-CMCT.mkv
82,追凶, 4.35 GiB,1280 * 544, 1h 33mn,6635 Kbps,追凶.Fairy.Tale.Killer.2012.BluRay.720p.DTS.2Audio.x264-CHD,,Fairy.Tale.Killer.2012.BluRay.720p.DTS.2Audio.x264-CHD.mkv
83,野兽之瞳, 2.80 GiB,1280 * 720, 1h 49mn,3668 Kbps,野兽之瞳.Born.Wild.2001.BluRay.720p.x264.AC3.2Audios-CMCT,,[野兽之瞳(国粤双语)].Born.Wild.2001.BluRay.720p.x264.AC3.2Audios-CMCT.mkv
84,钟无艳, 3.20 GiB,1280 * 720, 2h 3mn,3706 Kbps,钟无艳.Wu.Yen.2001.BluRay.720p.x264.AC3-CMCT,,[钟无艳(国粤双语)].Wu.Yen.2001.BluRay.720p.x264.AC3-CMCT.mkv
85,钟馗伏魔雪妖魔灵, 3.20 GiB,1280 * 720, 1h 57mn,3883 Kbps,钟馗伏魔雪妖魔灵.Zhongkui.Snow.Girl.and.the.Dark.Crystal.2015.BluRay.720p.x264.AC3-CnSCG,,[钟馗伏魔：雪妖魔灵]Zhongkui.Snow.Girl.and.the.Dark.Crystal.2015.BluRay.720p.x264.AC3-CnSCG.mkv
86,长恨歌, 5.61 GiB,1280 * 720, 1h 49mn,7364 Kbps,长恨歌.Everlasting.Regret.2005.BluRay.720p.DTS.x264-HDS,,Everlasting.Regret.2005.BluRay.RE.x264.720p.DTS.2Audio-HDS.mkv
87,阮玲玉, 4.16 GiB,1280 * 720, 2h 34mn,3852 Kbps,阮玲玉.Centre.Stage.1992.BluRay.720p.x264.AC3-CMCT,,[阮玲玉].Centre.Stage.1992.BluRay.720p.x264.AC3-CMCT.mkv
88,陀地驱魔人, 2.99 GiB,1280 * 720, 1h 42mn,4161 Kbps,陀地驱魔人.Keeper.of.Darkness.2015.BluRay.720p.x264.2Audio.AC3-CnSCG,,[陀地驱魔人]Keeper.of.Darkness.2015.BluRay.720p.x264.2Audio.AC3-CnSCG.mkv
89,集结号, 2.81 GiB,1280 * 544, 2h 3mn,3247 Kbps,集结号.Assembly.2007.BluRay.720p.x264.AC3-CMCT,,[集结号].Assembly.2007.BluRay.720p.x264.AC3-CMCT.mkv
90,雏妓, 4.37 GiB,1280 * 544, 1h 34mn,6630 Kbps,雏妓.Sara.2015.720p.BluRay.x264-WiKi,,Sara.2015.720p.BluRay.x264-WiKi.mkv
91,高登阔少蹲监日记, 3.50 GiB,1280 * 720, 1h 51mn,4471 Kbps,高登阔少蹲监日记.Imprisoned.Survival.Guide.for.Rich.and.Prodigal.2015.BluRay.720p.x264.2Audio.AC3-CnSCG,,[一狱一世界：高登阔少蹲监日记]Imprisoned.Survival.Guide.for.Rich.and.Prodigal.2015.BluRay.720p.x264.2Audio.AC3-CnSCG.mkv
92,鬼吹灯之寻龙诀, 3.62 GiB,1280 * 720, 2h 4mn,4158 Kbps,鬼吹灯之寻龙诀.Mojin.The.Lost.Legend.2015.BluRay.720p.x264.AC3-CMCT,,[鬼吹灯之寻龙诀].Mojin.The.Lost.Legend.2015.BluRay.720p.x264.AC3-CMCT.mkv
93,鬼马双星, 3.40 GiB,1280 * 720, 1h 47mn,4536 Kbps,鬼马双星.Games.Gamblers.Play.1974.BluRay.720p.x264.AC3.2Audios-CMCT,,[鬼马双星].Games.Gamblers.Play.1974.BluRay.720p.x264.AC3.2Audios-CMCT.mkv
94,黑白道, 2.01 GiB,1280 * 720, 1h 28mn,3237 Kbps,黑白道.On.The.Edge.2006.720p.BluRay.x264.AC3-CNXP,,黑白道.On.The.Edge.2006.720p.BluRay.x264.AC3-CNXP.mkv
