No,中文文件名,文件大小,画面尺寸,视频时长,视频码率,文件路径,文件Root,文件名称
169,杨过与小龙女, 1.36 GiB,716 * 368, 1h 32mn,2120 Kbps,DVD(O-Z),,杨过与小龙女.Little.Dragon.Maiden.1983.R3.SB.DVDRip.x264.2Audio.AC3.iNT-NowYS.mkv
170,椰林春恋, 698 MiB,720 * 368, 1h 33mn,1047 Kbps,DVD(O-Z),,椰林春恋.Tropical.Interlude.1969.R3.SB.DVDRip.x264.AC3.iNT-NowYS.mkv
171,欲海情魔, 1.37 GiB,716 * 368, 1h 34mn,2065 Kbps,DVD(O-Z),,欲海情魔.Madam.Slender.Plum.1967.R3.SB.DVDRip.x264.AC3.iNT-NowYS.mkv
172,欲焰狂流, 1.36 GiB,716 * 368, 1h 26mn,2264 Kbps,DVD(O-Z),,欲焰狂流.Torrent.Of.Desire.1969.R3.SB.DVDRip.x264.AC3.iNT-NowYS.mkv
173,武则天, 1.37 GiB,704 * 368, 1h 52mn,1744 Kbps,DVD(O-Z),,武则天.Empress.Wu.1963.R3.SB.DVDRip.x264.AC3.iNT-NowYS.mkv
174,武松, 1.36 GiB,716 * 368, 1h 34mn,2072 Kbps,DVD(O-Z),,武松.Tiger.Killer.1982.R3.SB.DVDRip.x264.AC3.iNT-NowYS.mkv
175,武馆, 1.36 GiB,716 * 432, 1h 43mn,1891 Kbps,DVD(O-Z),,武馆.Martial.Club.1981.R2.SB.DVDRip.x264.2Audio.AC3.iNT-NowYS.mkv
176,死囚, 1.37 GiB,716 * 368, 1h 42mn,1907 Kbps,DVD(O-Z),,死囚.The.Condemned.1976.R3.SB.DVDRip.x264.AC3.iNT-NowYS.mkv
177,水儿武士, 1.37 GiB,716 * 464, 1h 32mn,2120 Kbps,DVD(O-Z),,水儿武士.Journey.of.the.Doomed.1985.R3.SB.DVDRip.x264.AC3.iNT-NowYS.mkv
178,油鬼子, 698 MiB,716 * 352, 1h 23mn,1163 Kbps,DVD(O-Z),,油鬼子.The.Oily.Maniac.1976.R3.SB.DVDRip.X264.AC3.iNT-NowYS.mkv
179,清宫启示录, 2.35 GiB,1120 * 480, 1h 26mn,3886 Kbps,DVD(O-Z),,清宫启示录.The Assassin's Revenge.1983.DVDRip.x264.mkv
180,游侠儿, 1.37 GiB,716 * 368, 1h 43mn,1894 Kbps,DVD(O-Z),,游侠儿.The.Wandering.Swordsman.1970.R3.SB.DVDRip.x264.AC3.iNT-NowYS.mkv
181,游侠情, 698 MiB,716 * 368, 1h 28mn,1105 Kbps,DVD(O-Z),,游侠情.Long.Road.to.Gallantry.1984.R3.SB.DVDRip.x264.AC3.iNT-NowYS.mkv
182,潘金莲, 1.37 GiB,716 * 368, 1h 15mn,2608 Kbps,DVD(O-Z),,潘金莲.The.Amorous.Lotus.Pan.1964.R3.SB.DVDRip.x264.AC3.iNT-NowYS.mkv
183,瀛台泣血, 1.36 GiB,640 * 256, 1h 52mn,1740 Kbps,DVD(O-Z),,瀛台泣血.The.Last.Tempest.1976.R3.SB.DVDRip.x264.AC3.iNT-NowYS.mkv
184,玉女亲情, 1.36 GiB,716 * 352, 1h 29mn,2173 Kbps,DVD(O-Z),,玉女亲情.A.Place.to.Call.Home.1970.R3.SB.DVDRip.x264.AC3.iNT-NowYS.mkv
185,玉面侠, 1.36 GiB,720 * 368, 1h 44mn,1861 Kbps,DVD(O-Z),,玉面侠.The.Jade.Faced.Assassin.1971.R3.SB.DVDRip.x264.AC3.iNT-NowYS.mkv
186,玉面飞狐, 1.36 GiB,716 * 368, 1h 30mn,2148 Kbps,DVD(O-Z),,玉面飞狐.The.Silver.Fox.1968.R3.SB.DVDRip.x264.AC3.iNT-NowYS.mkv
