NO,category,Movie Name,File Size,Video Size,Video Length,Video Rate,Subtitle,File Name,filesize,disk
1,Bluray,72家租客, 4.35 GiB,1280 * 546, 1h 38mn,6349 Kbps,无字幕或内嵌字幕,72.Tenants.Of.Prosperity.2010.BluRay.720p.AC3.2Audio-CHD.mkv,0,中国电影2
2,Bluray,一半海水一半火焰, 2.96 GiB,1280 * 720, 1h 41mn,4178 Kbps,无字幕或内嵌字幕,一半海水一半火焰.Ocean Flame.2008.720p.BluRay.x264.AC3-CNXP.mkv,0,中国电影2
3,Bluray,三岔口, 3.00 GiB,1280 * 720, 1h 40mn,4283 Kbps,无字幕或内嵌字幕,[三岔口].Divergence.2005.BluRay.720p.x264.AC3.2Audios-CMCT.mkv,0,中国电影2
4,Bluray,上身, 3.00 GiB,1280 * 720, 1h 25mn,5024 Kbps,无字幕或内嵌字幕,[上身].Daughter.2015.BluRay.720p.x264.AC3.2Audios-CMCT.mkv,0,中国电影2
5,Bluray,不再让你孤单, 3.20 GiB,1280 * 720, 2h 2mn,3751 Kbps,无字幕或内嵌字幕,[不再让你孤单(国粤双语)].A.Beautiful.Life.2011.BluRay.720p.x264.AC3.2Audios-CMCT.mkv,0,中国电影2
6,Bluray,东方秃鹰, 2.40 GiB,1280 * 720, 1h 37mn,3512 Kbps,无字幕或内嵌字幕,东方秃鹰(国粤).Eastern.Condors.1986.BluRay.720p.AC3.2Audio.x264-CnSCG.mkv,0,中国电影2
7,Bluray,中国合伙人, 2.40 GiB,1280 * 720, 1h 52mn,3062 Kbps,无字幕或内嵌字幕,中国合伙人.American.Dreams.in.China.2013.720p.BluRay.x264.AC3-CNXP.mkv,0,中国电影2
8,Bluray,为你钟情, 4.37 GiB,1280 * 692, 1h 28mn,7063 Kbps,外挂中文,For.Your.Heart.Only.1985.BluRay.720p.AC3.2Audio.x264-CHD.mkv,0,中国电影2
9,Bluray,买凶拍人, 3.00 GiB,1280 * 720, 1h 38mn,4348 Kbps,无字幕或内嵌字幕,"[买凶拍人].YOU.SHOOT,I.SHOOT.2001.BluRay.720p.x264.AC3.2Audios-CMCT.mkv",0,中国电影2
10,Bluray,云水谣, 2.79 GiB,1280 * 720, 1h 52mn,3551 Kbps,无字幕或内嵌字幕,[云水谣].The.Knot.2006.HDTV.720p.x264.AC3-CMCT.mkv,0,中国电影2
11,Bluray,侠女, 6.38 GiB,1280 * 546, 2h 59mn,5088 Kbps,无字幕或内嵌字幕,Touch of Zen.1971.720P.BluRay.x264.ac3.mkv,0,中国电影2
12,Bluray,保持通话, 2.14 GiB,1280 * 720, 1h 50mn,2774 Kbps,无字幕或内嵌字幕,[保持通话(国粤双语)].Connected.2008.BluRay.x264.AC3.720p-CMCT.mkv,0,中国电影2
13,Bluray,光辉岁月, 3.92 GiB,1280 * 536, 1h 42mn,5478 Kbps,无字幕或内嵌字幕,7.Assassins.2013.BluRay.720p.x264.AC3.2Audio-MTeam.mkv,0,中国电影2
14,Bluray,冲上云霄, 2.18 GiB,1280 * 544, 1h 39mn,3135 Kbps,无字幕或内嵌字幕,冲上云霄.Triumph.in.the.Skies.2015.BluRay.720p.2Audio.x264.mkv,0,中国电影2
15,Bluray,力王, 2.80 GiB,1280 * 720, 1h 32mn,4353 Kbps,外挂中文,[力王(国粤)]The.Story.of.Ricky.1991.BluRay.720p.x264.2Audio.AC3-CnSCG[无字2.8G].mkv,0,中国电影2
16,Bluray,十万火急, 3.50 GiB,1280 * 720, 1h 48mn,4607 Kbps,无字幕或内嵌字幕,[十万火急]Lifeline.1997.BluRay.720p.x264.2Audio.AC3-CnSCG.mkv,0,中国电影2
17,Bluray,十月初五的月光, 3.20 GiB,1280 * 720, 1h 43mn,4419 Kbps,无字幕或内嵌字幕,[十月初五的月光]Return.of.the.Cuckoo.2015.BluRay.720p.x264.2Audio.AC3-CnSCG.mkv,0,中国电影2
18,Bluray,半斤八两, 3.00 GiB,1280 * 720, 1h 36mn,4467 Kbps,无字幕或内嵌字幕,[半斤八两].The.Private.Eyes.1976.BluRay.720p.x264.AC3.2Audios-CMCT.mkv,0,中国电影2
19,Bluray,卖身契, 3.00 GiB,1280 * 720, 1h 36mn,4427 Kbps,无字幕或内嵌字幕,[卖身契].The.Contract.1979.BluRay.720p.x264.AC3.2Audios-CMCT.mkv,0,中国电影2
20,Bluray,双子神偷, 2.05 GiB,1280 * 720, 1h 37mn,3023 Kbps,无字幕或内嵌字幕,[双子神偷].Twins.Mission.2007.720p.HDTV.x264.AC3-CMCT.mkv,0,中国电影2
21,Bluray,反贪风暴, 4.00 GiB,1280 * 536, 1h 31mn,6241 Kbps,外挂中文,Z.Storm.2014.720p.BluRay.x264-WiKi.mkv,0,中国电影2
22,Bluray,合家欢, 2.28 GiB,1280 * 720, 1h 39mn,3266 Kbps,无字幕或内嵌字幕,合家欢.Mr Coconut.1989.BD720P.X264.AAC.Cantonese&Mandarin.CHS.Mp4Ba.mp4,0,中国电影2
23,Bluray,同谋, 3.20 GiB,1280 * 720, 1h 42mn,4455 Kbps,无字幕或内嵌字幕,[同谋(国粤)]Conspirators.2013.BluRay.720p.x264.2Audio.AC3-CnSCG[中文字幕3.2G].mkv,0,中国电影2
24,Bluray,唐山大地震, 3.20 GiB,1280 * 720, 2h 16mn,3365 Kbps,无字幕或内嵌字幕,[唐山大地震(国粤双语)].Aftershock.2010.BluRay.720p.x264.AC3-CMCT.mkv,0,中国电影2
25,Bluray,圣诞玫瑰, 2.80 GiB,1280 * 720, 1h 29mn,4467 Kbps,无字幕或内嵌字幕,[圣诞玫瑰(国粤)]Christmas.Rose.2013.BluRay.720p.x264.2Audio.AC3-CnSCG[中文字幕2.8G].mkv,0,中国电影2
26,Bluray,堕落天使, 2.85 GiB,1280 * 704, 1h 38mn,4130 Kbps,无字幕或内嵌字幕,[堕落天使(国粤双语)].Fallen.Angels.1995.BluRay.720p.x264.AC3.AAC.2Audios-CMCT.mkv,0,中国电影2
27,Bluray,夏洛特烦恼, 3.01 GiB,1280 * 720, 1h 43mn,4149 Kbps,无字幕或内嵌字幕,[夏洛特烦恼]Goodbye.Mr.Loser.2015.BluRay.720p.x264.AC3-CnSCG[简繁中字3G].mkv,0,中国电影2
28,Bluray,天才与白痴, 3.00 GiB,1280 * 720, 1h 36mn,4442 Kbps,无字幕或内嵌字幕,[天才与白痴].The.Last.Message.1975.BluRay.720p.x264.AC3.2Audios-CMCT.mkv,0,中国电影2
